list_name,name,label,hospital_district,hospital_location
hospital_names,Dirghayu hospital,Dirghayu hospital,Kathmandu,Mitrapark
hospital_names,Other,Other,Kathmandu,Mitrapark
hospital_names,Civil Services Hospital,Civil Services Hospital,Kathmandu,New_Baneshwor
hospital_names,Other,Other,Kathmandu,New_Baneshwor
hospital_names,Manmohan Memorial Community Hospital,Manmohan Memorial Community Hospital,Kathmandu,Pharping
hospital_names,Other,Other,Kathmandu,Pharping
hospital_names,Capital Hospital,Capital Hospital,Kathmandu,Putalisadak
hospital_names,Other,Other,Kathmandu,Putalisadak
hospital_names,Kathmandu Medical College,Kathmandu Medical College,Kathmandu,Sinamangal
hospital_names,Other,Other,Kathmandu,Sinamangal
hospital_names,Chinese Camp,Chinese Camp,Kathmandu,Singhadurbar
hospital_names,Other,Other,Kathmandu,Singhadurbar
hospital_names,Kantipur Hospital,Kantipur Hospital,Kathmandu,Tinkune
hospital_names,Other,Other,Kathmandu,Tinkune
hospital_names,Blue Cross hospital Pvt Ltd,Blue Cross hospital Pvt Ltd,Kathmandu,Tripureshwor
hospital_names,Kathmandu Hospital,Kathmandu Hospital,Kathmandu,Tripureshwor
hospital_names,Other,Other,Kathmandu,Tripureshwor
hospital_names,Dhulikhel Hospital,Dhulikhel Hospital,Kavrepalanchowk,Dhulikhel
hospital_names,Sheer Memorial Hospital,Sheer Memorial Hospital,Kavrepalanchowk,Dhulikhel
hospital_names,Other,Other,Kavrepalanchowk,Dhulikhel
hospital_names,Methinkot Hospital,Methinkot Hospital,Kavrepalanchowk,Methinkot
hospital_names,Other,Other,Kavrepalanchowk,Methinkot
hospital_names,Indian Army Medical Team,Indian Army Medical Team,Lalitpur,Indian_Army_Medical_Team
hospital_names,Other,Other,Lalitpur,Indian_Army_Medical_Team
hospital_names,Alka Hospital,Alka Hospital,Lalitpur,Jawalakhel
hospital_names,Other,Other,Lalitpur,Jawalakhel
hospital_names,Midat Hospital,Midat Hospital,Lalitpur,Lagankhel
hospital_names,Patan Academy of Health Sciences,Patan Academy of Health Sciences,Lalitpur,Lagankhel
hospital_names,Other,Other,Lalitpur,Lagankhel
hospital_names,Star Hospital,Star Hospital,Lalitpur,Sanepa
hospital_names,Other,Other,Lalitpur,Sanepa
hospital_names,Hetauda Community Hospital,Hetauda Community Hospital,Makwanpur,Hetauda
hospital_names,Hetauda Hospital,Hetauda Hospital,Makwanpur,Hetauda
hospital_names,Other,Other,Makwanpur,Hetauda
hospital_names,Trisuli Hospital,Trisuli Hospital,Nuwakot,Trisuli
hospital_names,Other,Other,Nuwakot,Trisuli
hospital_names,Okhaldhunga Community Hospital,Okhaldhunga Community Hospital,Okhaldhunga,Okhaldhunga
hospital_names,Other,Other,Okhaldhunga,Okhaldhunga
hospital_names,"District Hospital, Okhaldhunga","District Hospital, Okhaldhunga",Okhaldhunga,Rumjatar
hospital_names,Other,Other,Okhaldhunga,Rumjatar
hospital_names,Manthali Hospital,Manthali Hospital,Ramechhap,Manthali
hospital_names,Other,Other,Ramechhap,Manthali
hospital_names,"District Hospital, Ramechhap","District Hospital, Ramechhap",Ramechhap,Ramechhap
hospital_names,Other,Other,Ramechhap,Ramechhap
hospital_names,"District hospital, Rasuwa","District hospital, Rasuwa",Rasuwa,Dhunche
hospital_names,Other,Other,Rasuwa,Dhunche
hospital_names,"District hospital, Sindhuli","District hospital, Sindhuli",Sindhuli,Sindhuli
hospital_names,Other,Other,Sindhuli,Sindhuli
hospital_names,Chautara Hospital,Chautara Hospital,Sindhupalchowk,Chautara
hospital_names,Other,Other,Sindhupalchowk,Chautara
